FechaObservacion,Departamento,ValorObservado
2005-01-01,ANTIOQUIA,0.0
2005-01-02,ANTIOQUIA,1.15
2005-01-02,LA GUAJIRA,0.0
2005-01-03,ANTIOQUIA,0.39999999999999997
2005-01-03,LA GUAJIRA,0.0
2005-01-04,ANTIOQUIA,0.05
2005-01-04,LA GUAJIRA,0.0
2005-01-05,ANTIOQUIA,10.700000000000001
2005-01-05,LA GUAJIRA,12.1
2005-01-06,ANTIOQUIA,19.800000000000004
2005-01-06,LA GUAJIRA,6.799999999999998
2005-01-07,ANTIOQUIA,16.8
2005-01-07,LA GUAJIRA,0.1
2005-01-08,ANTIOQUIA,0.0
2005-01-08,LA GUAJIRA,6.6
2005-01-09,ANTIOQUIA,12.000000000000002
2005-01-09,LA GUAJIRA,0.2
2005-01-10,ANTIOQUIA,1.6500000000000001
2005-01-10,LA GUAJIRA,0.0
2005-01-11,ANTIOQUIA,1.1
2005-01-11,LA GUAJIRA,0.0
2005-01-12,ANTIOQUIA,57.59999999999998
2005-01-12,LA GUAJIRA,0.0
2005-01-13,ANTIOQUIA,0.3
2005-01-13,LA GUAJIRA,0.0
2005-01-14,ANTIOQUIA,8.149999999999999
2005-01-14,LA GUAJIRA,0.0
2005-01-15,ANTIOQUIA,3.7500000000000004
2005-01-15,LA GUAJIRA,0.0
2005-01-16,ANTIOQUIA,0.05
2005-01-16,LA GUAJIRA,0.0
2005-01-17,ANTIOQUIA,0.44999999999999996
2005-01-17,LA GUAJIRA,0.0
2005-01-18,ANTIOQUIA,6.199999999999998
2005-01-18,LA GUAJIRA,0.1
2005-01-19,ANTIOQUIA,0.75
2005-01-19,LA GUAJIRA,0.0
2005-01-20,ANTIOQUIA,15.700000000000005
2005-01-20,LA GUAJIRA,0.0
2005-01-21,ANTIOQUIA,0.39999999999999997
2005-01-21,LA GUAJIRA,0.0
2005-01-22,ANTIOQUIA,0.0
2005-01-22,LA GUAJIRA,4.1
2005-01-23,ANTIOQUIA,9.7
2005-01-23,LA GUAJIRA,0.4
2005-01-24,ANTIOQUIA,5.899999999999999
2005-01-24,LA GUAJIRA,0.0
2005-01-25,ANTIOQUIA,1.1
2005-01-25,LA GUAJIRA,0.0
2005-01-26,ANTIOQUIA,12.55
2005-01-26,LA GUAJIRA,0.0
2005-01-27,ANTIOQUIA,0.0
2005-01-27,LA GUAJIRA,3.2
2005-01-28,ANTIOQUIA,0.39999999999999997
2005-01-28,LA GUAJIRA,0.0
2005-01-29,ANTIOQUIA,4.5
2005-01-29,LA GUAJIRA,0.0
2005-01-30,ANTIOQUIA,26.150000000000006
2005-01-30,LA GUAJIRA,0.0
2005-01-31,ANTIOQUIA,44.45
2005-01-31,LA GUAJIRA,0.2
2005-02-01,ANTIOQUIA,0.35
2005-02-01,LA GUAJIRA,0.0
2005-02-02,ANTIOQUIA,0.2
2005-02-02,LA GUAJIRA,0.0
2005-02-03,ANTIOQUIA,4.35
2005-02-03,LA GUAJIRA,0.0
2005-02-04,ANTIOQUIA,0.0
2005-02-04,LA GUAJIRA,0.2
2005-02-05,ANTIOQUIA,32.64999999999999
2005-02-05,LA GUAJIRA,0.1
2005-02-06,ANTIOQUIA,0.2
2005-02-06,LA GUAJIRA,7.8
2005-02-07,ANTIOQUIA,12.999999999999998
2005-02-07,LA GUAJIRA,0.0
2005-02-08,ANTIOQUIA,1.1000000000000003
2005-02-08,LA GUAJIRA,1.9000000000000004
2005-02-09,ANTIOQUIA,1.05
2005-02-09,LA GUAJIRA,12.6
2005-02-10,ANTIOQUIA,2.9000000000000004
2005-02-10,LA GUAJIRA,0.0
